"2021-01-02 18:58:59,448",126,47779,24.3,64,0.061974
"2021-01-02 18:59:04,110",127,47989,17.0,42,0.061844
"2021-01-02 18:59:16,633",128,48587,50.1,119,0.061475
"2021-01-02 18:59:23,476",129,48909,25.7,63,0.061277
"2021-01-02 18:59:53,544",130,50310,112.6,311,0.060426
"2021-01-02 18:59:58,065",131,50527,17.3,41,0.060294
"2021-01-02 19:00:08,787",132,51024,40.0,101,0.059995
"2021-01-02 19:00:13,274",133,51230,16.8,41,0.059871
"2021-01-02 19:00:17,828",134,51355,9.3,42,0.059796
"2021-01-02 19:00:28,377",135,51647,23.2,100,0.059621
"2021-01-02 19:00:32,980",136,51778,10.8,42,0.059543
"2021-01-02 19:00:44,563",137,52297,41.4,110,0.059235
"2021-01-02 19:00:53,851",138,52723,34.5,87,0.058983
"2021-01-02 19:01:04,222",139,53188,36.3,97,0.058709
"2021-01-02 19:01:10,125",140,53458,21.4,54,0.058550
"2021-01-02 19:01:15,523",141,53702,19.3,49,0.058407
"2021-01-02 19:01:21,038",142,53954,20.3,51,0.058260
"2021-01-02 19:01:50,751",143,55272,103.9,307,0.057498
"2021-01-02 19:02:04,699",144,55891,48.1,134,0.057143
"2021-01-02 19:02:09,170",145,56096,16.1,41,0.057026
"2021-01-02 19:02:15,677",146,56384,21.8,60,0.056861
"2021-01-02 19:02:21,014",147,56614,16.8,49,0.056730
"2021-01-02 19:02:30,115",148,57027,32.4,85,0.056496
"2021-01-02 19:02:37,395",149,57351,24.5,68,0.056313
"2021-01-02 19:02:45,181",150,57697,25.9,72,0.056119
"2021-01-02 19:02:57,600",151,58254,43.2,118,0.055807
"2021-01-02 19:03:10,888",152,58851,46.2,127,0.055475
"2021-01-02 19:03:18,390",153,59060,16.5,70,0.055359
"2021-01-02 19:03:27,781",154,59482,33.4,88,0.055125
"2021-01-02 19:03:36,538",155,59876,30.8,82,0.054909
"2021-01-02 19:03:43,053",156,60161,20.9,60,0.054752
"2021-01-02 19:03:49,392",157,60457,24.9,59,0.054590
"2021-01-02 19:03:53,937",158,60669,17.7,41,0.054474
"2021-01-02 19:03:58,440",159,60874,16.2,41,0.054362
"2021-01-02 19:04:05,581",160,61204,27.1,66,0.054183
"2021-01-02 19:04:53,996",161,63358,173.4,540,0.053030
"2021-01-02 19:05:00,057",162,63643,23.3,56,0.052879
"2021-01-02 19:05:06,904",163,63943,22.9,63,0.052720
"2021-01-02 19:05:13,528",164,64243,23.6,61,0.052562
"2021-01-02 19:05:18,055",165,64444,15.3,41,0.052456
"2021-01-02 19:05:29,793",166,64989,43.9,111,0.052171
"2021-01-02 19:05:43,733",167,65631,51.9,134,0.051837
"2021-01-02 19:06:12,937",168,66995,113.1,301,0.051136
"2021-01-02 19:06:22,400",169,67435,35.0,89,0.050911
"2021-01-02 19:06:39,106",170,68190,59.0,162,0.050528
"2021-01-02 19:06:53,167",171,68847,52.3,135,0.050198
"2021-01-02 19:07:31,009",172,70570,140.2,404,0.049341
"2021-01-02 19:07:39,049",173,70938,29.3,75,0.049160
"2021-01-02 19:07:45,951",174,71270,28.0,64,0.048997
"2021-01-02 19:07:55,252",175,71704,35.7,87,0.048785
"2021-01-02 19:08:15,131",176,72617,73.5,196,0.048342
"2021-01-02 19:08:21,088",177,72902,24.0,55,0.048204
"2021-01-02 19:08:51,792",178,74347,120.4,318,0.047513
"2021-01-02 19:09:01,195",179,74774,34.3,88,0.047311
"2021-01-02 19:09:09,465",180,75155,30.9,77,0.047131
"2021-01-02 19:09:22,689",181,75776,51.5,126,0.046839
"2021-01-02 19:09:43,672",182,76714,73.1,208,0.046402
"2021-01-02 19:10:10,783",183,77945,100.0,277,0.045836
"2021-01-02 19:10:17,467",184,78246,22.7,62,0.045698
"2021-01-02 19:10:27,034",185,78693,36.4,90,0.045494
